"Estimate","SE","Lower","Upper","shrinkage"
-0.447664519801764,-0.507643726214028,-0.359158345226181,-0.555598710235444,-0.560549894558814
-0.465106160242352,-0.515077137320402,-0.373503833453978,0.387109076298274,0.495817752871078
-0.492290809474356,-0.599990645311137,-0.374291598227683,-0.206448204665005,-0.167646030258261
-0.446144342830037,-0.455049788589605,-0.372167990905256,0.881308428206433,1.04810693477934
-0.443487208512763,-0.446808901596483,-0.372460189185539,0.768095553864129,0.921584311552766
-0.492209524585753,-0.599869062246442,-0.374465173496346,-0.381395647771277,-0.363207886205504
-0.461170713446089,-0.507770675648747,-0.37235223910708,0.0994796832787978,0.174053910714026
-0.319676525264583,-0.108581763966563,-0.358275578908444,0.946511822973442,1.11865990436757
-0.409072478761004,-0.373270154565431,-0.36264629824062,0.152015375931206,0.2311508770693
-0.412064959700657,-0.397115850810058,-0.358987287632596,-0.165969148429396,-0.124973120440216
-0.417886421318912,-0.424360541307417,-0.354805368610514,-0.336024902649727,-0.315801074984448
-0.346202416270333,-0.253961527412793,-0.335436120649373,0.0353220241443051,0.0960959645670137
-0.455327463440693,-0.520709206170786,-0.362320353091486,-0.597344686154735,-0.606688273856513
-0.466742557352048,-0.548763077423564,-0.364961254787265,-0.698829640133862,-0.719702736911387
-0.418999533087588,-0.43802777867921,-0.349857489420303,-0.454311653005655,-0.448880569361289
-0.459428890380436,-0.531473034610925,-0.362582244643202,-0.652870665028484,-0.668722093319676
-0.256775297259511,-0.0705057026684478,-0.302115866124436,0.255508522531956,0.336641447675903
-0.474531459730222,-0.56210408173816,-0.368311260661342,-0.721546558986955,-0.744534915349024
-0.448342106060363,-0.491703876362079,-0.364616352371325,-0.426841612734214,-0.415678471913413
-0.474522303767861,-0.556164066782553,-0.371012159035375,-0.577996987698881,-0.583590786233027
-0.447664519801764,-0.507643726214028,-0.359158345226181,-0.555598710235444,-0.560549894558814
-0.399781578445214,-0.401966751526019,-0.343538487185067,-0.323246320463355,-0.303415950667896
-0.447664519801764,-0.507643726214028,-0.359158345226181,-0.555598710235444,-0.560549894558814
-0.169657672325467,0.0642823424301598,-0.242382025224231,0.466001577064758,0.561892285249473
-0.449158975744395,-0.518927498306732,-0.356146649612837,-0.65524974047705,-0.672467926449667
-0.447664519801764,-0.507643726214028,-0.359158345226181,-0.555598710235444,-0.560549894558814
3.36896327859918,0.762367453838346,7.36723861081011,2.12644117091077,1.13411407710099
-0.505919867560908,-0.643786329829387,-0.374865431599086,-0.964024694535953,-1.01451930241425
-0.505514492049122,-0.642729548214543,-0.374796061917223,-0.960401640397385,-1.01048043619932
-0.505087879648872,-0.641616113303767,-0.374725338996546,-0.956549815604934,-1.00618603287988
-0.504598405323117,-0.640353627013565,-0.374634118014357,-0.951000759902578,-0.999997585431527
-0.504079230735425,-0.639058061865692,-0.374541873595603,-0.946094534713998,-0.994527994860349
-0.503522026961975,-0.637646435551419,-0.374429737333722,-0.940261105525375,-0.988025147530196
-0.50287502410239,-0.635990886870262,-0.374310814735555,-0.934899026474317,-0.98205041461728
